Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
1,22,1,21,1,0,0,30893,152,29,0
1,21,1,29,1,0,0,43798,152,258,0
1,67,1,28,0,1,1,32653,124,171,0
0,35,1,28,0,1,1,41662,999,223,0
0,24,1,33,1,0,0,20513,152,270,0
1,24,1,11,1,0,0,27771,152,233,0
1,24,1,15,1,0,0,23267,152,143,0
0,28,1,41,1,0,0,37948,152,211,0
0,24,1,30,1,0,0,24414,152,149,0
1,71,1,28,0,1,1,42881,124,105,0
1,26,1,35,1,0,0,51047,152,165,0
0,45,1,28,0,2,1,72963,157,86,0
0,59,1,39,0,1,1,44630,124,200,0
0,26,1,28,1,0,0,44082,152,197,0
0,24,1,46,1,0,0,21006,152,11,0
1,42,1,8,0,1,1,35600,124,213,0
1,20,1,12,0,0,1,72963,160,49,0
1,54,1,6,1,1,0,24515,124,93,0
1,48,1,8,1,1,0,41483,124,113,0
1,59,1,41,0,1,1,2630,156,88,0
1,43,1,5,1,1,1,2630,124,178,0
0,40,1,29,0,1,1,2630,157,77,0
1,77,1,50,1,1,0,42327,124,10,0
0,22,1,28,0,0,1,48276,152,290,0
0,35,1,28,0,1,1,41029,999,94,0
1,24,1,8,1,0,0,35981,152,231,0
0,24,1,33,1,0,0,32219,152,45,0
0,26,1,47,1,0,0,2630,152,296,0
1,26,1,30,1,0,0,2630,152,270,0
1,39,1,28,0,1,1,38036,157,10,0
0,52,1,45,0,1,1,23918,26,265,0
1,20,1,28,1,0,0,31367,160,255,0
1,69,1,28,0,1,1,30727,122,47,0
0,28,1,46,1,0,0,41526,160,122,0
1,44,1,28,0,1,1,30427,124,237,1
0,22,1,8,1,0,0,48773,152,217,0
1,20,1,29,1,1,0,2630,157,271,0
1,21,1,8,1,0,0,27076,160,278,0
1,23,1,18,1,0,0,35970,26,16,0
1,36,1,8,0,1,1,30941,26,249,0
0,69,1,28,0,1,1,32400,26,189,1
1,27,1,15,0,0,1,33845,152,260,0
1,47,1,41,1,1,0,36809,26,226,0
0,49,1,28,0,1,1,48505,124,271,0
1,25,1,25,1,0,0,32856,152,275,0
0,21,1,29,1,0,0,29166,152,278,0
1,42,1,38,0,1,1,34193,156,116,1
1,22,1,37,0,0,1,38240,152,221,1
0,42,1,28,0,1,1,39977,124,276,0
0,31,1,28,0,1,1,39423,124,190,0
0,60,1,36,1,1,1,36638,124,33,0
1,46,1,29,0,1,1,28946,124,64,0
0,23,1,46,1,0,0,2630,152,88,0
0,22,1,30,1,0,0,18202,152,107,0
1,20,1,8,1,0,0,38076,160,79,0
1,57,1,28,0,1,1,19618,122,96,1
0,29,1,28,1,0,0,27715,152,93,0
1,22,1,46,1,0,1,28311,152,240,0
0,22,1,36,0,0,1,2630,152,211,0
1,43,1,28,0,1,1,39495,124,172,1
1,54,1,15,0,1,1,35116,124,171,1
1,44,1,28,0,1,1,39450,124,214,0
0,23,1,8,1,0,0,42644,152,257,0
0,50,1,28,0,1,1,68147,999,218,0
1,50,1,28,1,1,0,42024,122,224,0
0,44,1,41,0,1,1,30875,124,173,0
1,22,1,46,1,0,0,25037,152,220,0
1,31,1,24,0,1,1,2630,156,257,0
0,20,1,12,0,0,1,2630,160,203,0
1,52,1,30,1,0,0,2630,999,152,0
1,58,1,28,1,1,0,44522,999,94,0
1,59,1,49,0,1,1,39971,124,143,0
0,25,1,8,1,0,0,42307,152,213,0
1,45,1,28,0,2,1,49145,122,222,1
1,44,1,46,1,1,0,50696,26,193,0
0,38,1,29,0,1,1,47639,122,169,0
1,38,1,28,0,1,1,65212,124,32,0
1,23,1,27,1,0,0,26287,160,199,0
0,78,1,46,1,1,0,31616,999,185,0
1,20,1,35,1,0,0,2630,160,81,0
1,25,1,11,0,0,0,38081,152,132,0
1,47,1,28,1,1,0,31269,124,213,0
1,66,1,31,0,2,1,2630,26,90,0
0,55,1,28,0,2,1,49146,26,190,1
0,24,1,8,0,0,1,54408,152,86,0
1,26,1,8,1,0,0,54203,152,81,0
0,22,1,28,1,0,0,38452,26,51,0
0,34,1,28,0,1,0,46685,124,205,0
1,66,1,28,0,1,0,42644,122,80,0
0,44,1,28,0,1,1,45485,122,245,0
1,21,1,13,0,0,1,28733,152,70,0
1,20,1,46,0,0,1,49211,160,284,0
1,22,1,50,1,0,0,36287,152,70,0
0,25,1,37,0,0,1,2630,152,249,0
0,49,1,29,0,1,0,2630,156,265,0
1,50,1,31,0,1,1,2630,124,237,0
1,75,1,8,1,1,0,2630,26,11,0
1,31,1,28,0,0,1,32883,26,132,0
1,21,1,28,0,0,0,2630,152,186,0
0,47,1,15,0,1,1,2630,999,166,0
1,59,1,28,0,1,1,44233,124,160,1
1,23,1,47,0,0,1,25080,152,277,1
1,65,1,28,0,1,1,72963,26,186,1
0,27,1,33,0,0,1,2630,152,125,0
1,49,1,28,0,1,1,37214,26,158,1
1,51,1,28,0,1,1,37690,26,34,0
0,66,1,47,0,1,1,34757,26,92,0
1,45,1,28,0,1,0,42620,124,245,0
0,45,1,35,1,1,0,2630,26,200,0
0,68,1,30,1,1,0,2630,160,218,0
1,47,1,28,0,2,1,33145,124,237,0
1,28,1,6,0,1,1,31181,124,282,0
0,25,1,40,0,0,1,39361,152,104,0
0,51,1,28,0,2,1,33632,124,137,0
0,24,1,6,1,0,0,29371,152,168,0
0,25,1,43,1,0,0,27080,160,177,0
0,24,1,43,0,0,1,29981,152,185,0
1,41,1,21,0,1,1,29440,157,87,1
1,29,1,46,0,0,1,2630,152,118,0
0,22,1,46,1,0,0,31506,160,113,0
0,38,1,38,1,1,0,37379,124,158,0
0,26,1,8,1,0,0,22650,152,181,0
1,23,1,6,1,0,0,24308,152,256,0
0,36,1,46,0,0,1,2630,999,94,0
0,37,1,28,0,1,1,20267,152,88,0
0,21,1,8,1,0,1,46704,152,99,0
0,24,1,13,0,0,1,2630,151,19,0
1,22,1,46,1,0,0,23810,152,220,0
1,54,1,28,1,1,0,34431,124,288,0
0,21,1,34,0,1,1,36314,163,86,1
0,44,1,28,0,1,1,72963,152,295,0
1,48,1,8,0,1,1,42100,124,247,1
1,42,1,11,0,1,1,40473,124,46,0
0,45,1,28,0,1,1,27616,26,134,0
1,25,1,16,1,0,0,2630,152,178,0
1,76,1,15,1,1,0,39952,999,126,0
1,64,1,28,0,1,1,42417,999,116,0
1,29,1,8,0,0,1,42992,124,241,0
0,28,1,14,1,0,0,27555,152,258,0
0,24,1,46,1,0,0,25784,152,128,0
0,49,1,8,0,1,1,38022,124,197,0
1,53,1,39,0,1,1,2630,157,83,0
0,67,1,29,0,1,1,43753,124,30,1
1,54,1,33,0,1,1,39396,124,295,0
0,25,1,23,1,0,0,2630,152,228,0
0,21,1,30,1,0,0,24030,152,82,0
0,39,1,28,0,1,1,33016,124,74,0
1,54,1,35,0,1,1,26629,26,113,1
0,24,1,32,0,0,1,2630,152,107,0
0,23,1,2,1,0,0,24881,152,247,0
1,33,1,15,1,0,0,2630,152,190,0
0,23,1,37,0,0,1,21214,152,126,1
0,23,1,21,0,0,1,24388,152,270,0
1,47,1,46,1,1,0,2630,999,270,0
1,63,1,28,0,1,1,44879,124,85,0
0,27,1,10,0,0,1,24453,152,152,0
1,49,1,8,0,1,1,41648,124,98,0
1,29,1,28,0,0,1,40186,160,227,0
1,46,1,33,0,1,1,30866,124,77,0
1,33,1,11,1,0,0,35263,152,271,0
1,40,1,8,1,1,0,31839,152,165,0
0,30,1,49,0,0,1,27967,152,270,0
1,52,1,28,0,1,1,46090,124,217,1
1,23,1,35,1,0,0,27968,152,128,0
1,70,1,28,0,2,1,51565,122,115,0
1,24,1,2,0,0,1,26707,152,224,0
1,42,1,33,0,2,1,35187,124,107,0
1,70,1,8,0,1,1,46177,26,249,0
0,22,1,46,0,0,1,26118,152,46,0
1,70,1,7,1,1,0,65479,124,213,0
0,23,1,28,1,0,0,38010,152,177,0
0,74,1,28,0,2,1,30128,26,164,1
0,22,1,43,0,1,1,42589,157,236,0
0,66,1,28,0,1,1,30967,26,64,0
0,24,1,8,0,0,1,42636,152,155,0
1,40,1,28,0,1,1,37142,124,286,0
1,59,1,8,1,1,0,34424,26,134,0
0,23,1,27,0,0,1,27827,151,19,0
1,45,1,46,0,1,1,37726,26,186,0
0,22,1,44,1,0,0,37232,152,177,0
1,30,1,28,0,0,1,51429,999,119,1
1,73,1,29,0,2,1,72963,999,132,0
0,33,1,7,0,1,0,2630,26,103,0
0,25,1,2,1,0,0,28342,152,113,0
0,44,1,28,0,1,1,52593,26,30,1
0,36,1,8,0,1,1,63198,26,244,1
1,69,1,46,1,1,0,44679,26,293,0
1,79,1,45,0,1,1,21882,124,78,0
0,24,1,28,1,0,0,28036,152,108,0
1,72,1,8,1,1,0,36462,26,61,0
0,39,1,28,0,1,1,45387,154,59,1
0,62,1,28,0,1,1,31026,124,105,0
1,43,1,18,0,1,1,39225,124,268,0
1,29,1,37,0,1,1,2630,154,66,0
0,20,1,28,1,0,1,2630,160,120,0
0,27,1,46,1,0,0,28640,152,93,0
1,20,1,8,0,0,1,40115,160,292,0
1,22,1,35,0,0,1,30083,152,84,0
1,56,1,28,0,1,1,32018,26,183,0
0,28,1,50,1,0,0,26788,152,221,0
1,20,1,36,1,0,0,27397,152,13,0
1,23,1,21,0,0,1,33870,152,258,0
0,31,1,15,1,0,0,33444,152,233,0
0,31,1,15,1,0,0,40315,152,103,0
0,51,1,28,0,1,1,39214,26,15,0
0,23,1,37,1,0,0,41919,152,288,0
1,37,1,28,0,1,1,42207,124,135,1
0,25,1,28,0,0,1,72963,152,247,0
0,25,1,28,1,0,0,72963,152,295,0
0,22,1,28,1,0,0,58936,152,274,0
0,31,1,18,1,0,0,44945,152,201,0
0,22,1,46,1,0,0,36430,152,241,0
1,29,1,7,1,0,0,2630,152,59,0
0,38,1,45,0,1,1,2630,156,253,0
0,26,1,15,1,0,0,32553,152,97,0
0,22,1,37,0,0,1,32093,152,113,1
0,70,1,28,0,1,1,37783,999,102,0
1,58,1,28,0,1,1,41394,124,22,0
1,52,1,12,0,1,1,29442,124,264,0
1,49,1,28,0,1,1,31733,26,265,0
0,24,1,30,0,0,0,39055,152,127,0
0,24,1,30,1,0,0,28829,152,173,0
0,76,1,8,0,1,1,38546,163,92,0
0,22,1,3,0,0,1,23309,160,202,0
0,23,1,43,1,0,0,25272,152,25,0
1,24,1,8,1,0,0,60219,151,233,0
0,25,1,47,0,0,1,40374,152,246,0
1,33,1,46,1,1,0,27599,124,10,0
1,51,1,18,1,1,0,2630,26,88,0
0,48,1,27,0,1,1,34900,124,153,0
1,38,1,48,0,1,1,2630,124,67,0
0,21,1,7,1,0,0,2630,152,74,0
1,36,1,9,1,1,0,41410,152,174,0
0,22,1,28,1,0,0,24980,152,181,0
1,53,1,28,1,1,1,36544,26,182,0
1,45,1,46,1,1,0,2630,26,271,0
1,24,1,15,1,0,0,23479,151,259,0
1,46,1,11,1,1,0,36581,152,115,0
0,57,1,41,1,1,0,24564,152,220,0
1,41,1,28,0,1,1,44898,124,154,0
1,45,1,28,0,1,1,2630,26,204,1
1,47,1,31,0,1,1,2630,124,80,0
1,51,1,41,0,2,1,31443,999,82,0
0,24,1,15,0,0,1,2630,152,48,0
1,57,1,28,0,1,1,24552,26,122,1
0,25,1,8,1,0,0,61805,152,58,0
1,46,1,8,1,1,0,34727,124,229,0
1,38,1,28,0,1,1,46272,124,203,1
0,48,1,28,0,1,1,47104,26,166,0
1,22,1,46,1,0,0,26647,160,95,0
1,27,1,46,1,0,0,26312,152,244,0
1,33,1,43,1,1,0,2630,26,149,0
1,23,1,47,1,0,0,35982,152,277,0
0,44,1,28,1,1,0,34612,26,62,0
0,24,1,41,1,0,0,29857,152,201,0
1,39,1,38,0,1,1,33149,124,20,0
0,21,1,13,1,0,0,24731,160,283,0
1,25,1,15,1,0,0,34661,160,207,0
0,51,1,33,0,1,1,31243,152,39,1
0,27,1,28,1,0,0,52455,152,21,0
0,42,1,8,0,2,1,34393,124,209,0
0,23,1,44,1,0,0,28978,152,242,0
1,36,1,28,1,1,0,44579,26,104,0
1,50,1,28,0,2,1,38269,999,244,0
1,69,0,33,0,1,1,39730,26,53,0
1,24,1,11,1,0,0,36316,152,64,0
1,57,1,7,0,1,1,2630,124,52,0
0,32,1,43,0,0,0,2630,152,167,0
1,68,1,8,0,1,1,72963,26,206,0
1,40,1,4,0,1,1,33466,124,120,1
1,37,1,30,0,1,1,29934,26,141,0
0,27,1,17,1,0,0,2630,151,24,0
0,21,1,47,0,0,1,57982,160,89,0
0,46,1,28,0,1,1,51568,999,216,0
1,55,1,28,0,1,1,54115,999,114,0
1,79,1,29,0,1,1,28777,26,220,0
0,22,1,8,0,0,1,35461,152,90,0
0,52,1,7,0,1,1,2630,157,19,1
1,22,1,30,1,0,0,28001,152,226,0
0,24,1,28,0,0,1,31901,152,17,0
1,32,1,21,1,0,0,25562,152,261,0
1,40,1,28,0,1,1,34364,124,41,0
0,23,1,8,1,0,0,48251,152,202,0
1,56,1,6,1,1,1,20472,26,288,0
1,57,1,28,0,1,1,31179,26,160,1
1,24,1,15,1,0,0,33613,152,205,0
0,27,1,33,1,0,0,2630,160,266,0
1,21,1,26,0,0,1,25205,160,256,0
0,72,1,28,0,1,1,61819,122,35,0
0,25,1,6,0,0,1,2630,152,288,0
0,21,1,7,1,0,0,48103,160,135,0
1,24,1,45,0,0,1,19848,152,115,0
0,25,1,24,1,0,0,2630,152,36,0
1,26,1,30,1,0,0,22102,152,97,0
0,75,1,46,1,1,0,30356,26,288,0
0,24,1,41,1,0,1,21093,160,53,0
1,66,1,14,0,1,1,40223,124,200,0
0,23,1,41,1,0,0,32465,152,47,0
0,49,1,46,0,1,1,25996,26,184,1
1,42,1,41,0,1,1,35129,163,80,1
0,25,1,23,1,0,0,19298,152,140,0
1,21,1,29,1,0,0,28450,152,17,0
0,23,1,28,1,0,0,28155,152,83,0
